part_number,supplier_code,supplier_part_number,supplier_cost,is_preferred
/WARRANTY,TWB,/WARRANTY,0.0,True
0,DM,0,237.99,True
000.0020,SG,000.0020,250.0,True
000041,BEN,000041,0.0,True
00010,VRG,00010,487.0,True
000125,BEN,000125,0.45,True
000144,BEN,000144,0.0,True
000227,BEN,000227,0.5,True
000349W,BEN,000349W,0.0,True
000367,BEN,000367,0.0,True
000484,BEN,000484,0.3,True
000774,BEN,000774,0.0,True
000774W,BEN,000774W,0.0,True
000883,BEN,000883,0.0,True
001001,BEN,001001,0.0,True
001011,BEN,001011,17.25,True
001011W,BEN,001011W,0.0,True
001017,BEN,001017,30.0,True
001064W,BEN,001064W,0.0,True
001075W,BEN,001075W,0.0,True
001091,BEN,001091,1.0,True
0011-2631,MISC,0011-2631,23.22,True
001107W,BEN,001107W,0.0,True
001110,BEN,001110,0.0,True
001112,BEN,001112,0.0,True
001134,BEN,001134,23.0,True
001135,BEN,001135,37.0,True
001136,BEN,001136,31.0,True
001172,BEN,001172,0.5,True
001175,BEN,001175,2.0,True
001175W,BEN,001175W,0.0,True
001177,BEN,001177,1.25,True
00138,VRG,00138,199.0,True
0018308W,BEN,0018308W,0.0,True
002032,BEN,002032,90.0,True
002033,BEN,002033,0.0,True
002034,BEN,002034,95.0,True
002038,BEN,002038,185.0,True
002316,BEN,002316,462.0,True
002323,BEN,002323,0.0,True
002323W,BEN,002323W,0.0,True
002388,BEN,002388,0.0,True
002413,BEN,002413,2.75,True
002413W,BEN,002413W,0.0,True
002492W,BEN,002492W,0.0,True
002741,BEN,002741,70.0,True
002821,BEN,002821,115.0,True
002838,BEN,002838,0.5,True
002838W,BEN,002838W,0.0,True
002842,BEN,002842,0.0,True
002922,BEN,002922,0.0,True
002945,BEN,002945,0.0,True
002957,BEN,002957,0.0,True
003147,BEN,003147,0.0,True
003269,BEN,003269,24.0,True
003345,BEN,003345,0.0,True
003371W,BEN,003371W,0.0,True
003414,BEN,003414,49.0,True
003419,BEN,003419,0.0,True
003433,BEN,003433,0.0,True
003441,BEN,003441,0.0,True
003567,BEN,003567,0.0,True
003706,BEN,003706,120.0,True
003926,BEN,003926,0.0,True
004789,BEN,004789,2.0,True
004822,BEN,004822,25.0,True
004823,BEN,004823,0.0,True
004918W,BEN,004918W,0.0,True
004937,BEN,004937,305.0,True
004955,BEN,004955,33.0,True
004980,BEN,004980,2.5,True
005-1453-A,CHF,005-1453-A,42.0,True
005-2021,CHF,005-2021,31.95,True
005-2022,CHF,005-2022,30.21,True
005-2200,CHF,005-2200,22.99,True
005-3501,CHF,005-3501,35.75,True
005-3513-M,CHF,005-3513-M,8.05,True
005-3513-S,CHF,005-3513-S,8.05,True
005-3513-XL,CHF,005-3513-XL,8.05,True
005-3515-S,CHF,005-3515-S,8.63,True
005-3515-XL,CHF,005-3515-XL,8.63,True
005-3516-S,CHF,005-3516-S,8.62,True
005-3523-L,CHF,005-3523-L,28.75,True
005-3523-S,CHF,005-3523-S,28.75,True
005-3524-M,CHF,005-3524-M,28.75,True
005-3536-L,CHF,005-3536-L,26.45,True
005-3547-L,CHF,005-3547-L,10.93,True
005-3549-L,CHF,005-3549-L,13.8,True
005-3549-S,CHF,005-3549-S,13.8,True
005-3549-XL,CHF,005-3549-XL,13.8,True
005-4202,CHF,005-4202,13.05,True
005-4522,CHF,005-4522,9.0,True
005-5053-M,CHF,005-5053-M,16.68,True
005066,BEN,005066,25.0,True
005362,BEN,005362,1.25,True
005530W,BEN,005530W,0.0,True
005713,BEN,005713,57.0,True
005714W,BEN,005714W,0.0,True
005833,BEN,005833,2.0,True
006067,BEN,006067,7.75,True
006141,BEN,006141,310.0,True
006141W,BEN,006141W,0.0,True
006626,BEN,006626,0.0,True
006658,BEN,006658,8.5,True
006658W,BEN,006658W,0.0,True
006665W,BEN,006665W,0.0,True
006675W,BEN,006675W,0.0,True
006688,BEN,006688,26.0,True
006688W,BEN,006688W,0.0,True
006888,BEN,006888,22.0,True
006922,BEN,006922,16.0,True
007268,BEN,007268,0.0,True
007285W,BEN,007285W,0.0,True
007576W,BEN,007576W,0.0,True
008284,BEN,008284,67.0,True
008285,BEN,008285,67.0,True
