part_number,description,category_code,quantity,public_price
/WARRANTY,YAMAHA RIGGING,ACC,0.0,0.0
0,CHANGED TO 7-0575B,ACC,0.0,279.99
000.0020,Misc Materials / Module for,AEL,0.0,250.0
000041,"DEFLECTOR,DECK",ACC,0.0,0.0
00010,FULL KIT PONTOON GUARD FULL,ACC,0.0,811.7
000125,"SCREW, 1/4-20 X 3-1/2 PH",ACC,0.0,0.75
000144,HEAD LIVEWELL,ACC,0.0,0.0
000227,"SCREW, 1/4-20 X 1-1/2 PH",ACV,0.0,0.89
000349W,BRACKET SHOCK 90* SM,ACC,0.0,0.0
000367,HOSE 3 4IN LIVEWELL,ACC,0.0,0.0
000484,"NLA-BOLT, 3/8-16X1-1/4",ACC,0.0,0.5
000774,"HOSE, DRAIN, 3/8"" CLEAR",ACC,0.0,0.0
000774W,"HOSE DRAIN 3/8"" CLEAR",ACC,0.0,0.0
000883,TEE FITTING 3 4IN BLACK,ACC,0.0,0.0
001001,"RECEPTACLE, 12 VOLT",ACC,0.0,0.0
001011,"HINGE, 5-1/4"", PAINTED",ACC,0.0,28.75
001011W,"HINGE, 5-1/4"", PAINTED",ACC,0.0,0.0
001017,"STRUT, 1999, 31""",ACC,0.0,48.5
001064W,"CABLE STEERING ""QC"" 19'",ACC,0.0,0.0
001075W,PONTOON RAIL SPACER,ACC,0.0,0.0
001091,"NLA-BOLT, 3/8-16X1-1/4",ACC,0.0,2.09
0011-2631,"ROD & REEL, YOUTH",ACC,0.0,35.99
001107W,"HINGE 2""X 2""X",ACC,0.0,0.0
001110,"NUT, 10-24 KEP SS",ACC,0.0,0.0
001112,"FLUSH LATCH, BLACK, #3",ACC,0.0,0.0
001134,"BASE, FLOOR, TABLE",ACC,0.0,38.49
001135,SWIVEL TABLE MOUNT,ACC,0.0,61.99
001136,"POST TABLE MOUNT 27""",ACC,0.0,51.99
001172,"SCREW, 1/4-20 X 1-1/4 PH",ACV,0.0,0.99
001175,"KNOB, 5/16-18 NYLON",ACC,0.0,3.5
001175W,"KNOB, 5/16-18 NYLON",ACC,0.0,0.0
001177,"NUT, BARREL, 1/4-20 SS",ACV,0.0,2.29
00138,VINYL WRAP BRUSHED,ACC,0.0,331.0
0018308W,TABLE RECTANGULAR,ACC,0.0,0.0
002032,"XMEM,133.5"",.25""W,.125""T,.",ACC,0.0,150.0
002033,"TRIM, DECK, FRONT,",ACC,0.0,0.0
002034,"TRIM, DECK, FRONT,",ACC,0.0,159.0
002038,TRIM SIDE DECK,ACC,0.0,308.5
002316,"STEERING CYLINDER,",ACC,0.0,769.99
002323,"HOSE KIT, HYDRAULIC 22'",ACC,0.0,323.35
002323W,HOSE KIT HYDRAULIC 22',ACC,0.0,0.0
002388,CABLE STEERING,ACC,0.0,0.0
002413,DECAL DESIGNATOR 3/4,ACC,0.0,4.75
002413W,DC MODEL DESIGNATOR,ACC,0.0,0.0
002492W,"PORTABLE TOILET, 964-",ACC,0.0,0.0
002741,"DECK TRIM, REAR, 100"",",ACC,0.0,116.75
002821,"CABLE STEERING ""QC"" 20'",ACC,0.0,196.0
002838,"SCREWSTUD, SS,1/2""",ACC,0.0,0.84
002838W,"SCREWSTUD, SS,1/2""",ACC,0.0,0.0
002842,SHOCK GAS 40LB 20IN,ACC,0.0,0.0
002922,"HINGE 2.375""X3.5""X5"" .",ACC,0.0,0.0
002945,"NUT, BREAKER, BLACK,",ACC,0.0,0.0
002957,"Latch, Bimini Strut",ACC,0.0,0.0
003147,"RECEPTACLE, 12 VOLT",ACC,0.0,0.0
003269,"POST, TAPER-LOCK, HI-LO",ACC,0.0,34.0
003345,HOSE CLAMP 1-1 2IN SS,ACC,0.0,0.0
003371W,SOCKET NORMAL ACTION,ACC,49.0,0.0
003414,"LIGHT,RECESSED",ACC,0.0,81.99
003419,"SLIDER, TRAC-LOCK III",ACV,0.0,0.0
003433,"TRAY, BATTERY, SERIES",ACC,0.0,0.0
003441,"HELM,TILT",PHA,0.0,0.0
003567,"SCREW, 1/4-20X3/4PH",ACC,0.0,0.0
003706,"FLAG,DECK MOUNT,",ACC,0.0,209.99
003926,ANODE ALUMINUM,ACC,0.0,0.0
004789,Bimini Insert,ACC,0.0,5.0
004822,OVERFLOW DRAIN TUBE,ACC,0.0,41.6
004823,THRU HULL DRAIN 1-1 8IN,ACC,0.0,0.0
004918W,"TAPE NON-SKID 1-7/8"" X",ACC,0.0,0.0
004937,"LADDER, STERN, 4-STEP,",ACC,0.0,508.5
004955,"Light, All Round 36""",AEN,0.0,46.5
004980,Bimini Insert,ACC,0.0,4.0
005-1453-A,"COVER, CHRIS CRAFT",ACC,0.0,69.99
005-2021,"BAG, TRAVEL FLIGHT",ACC,0.0,84.99
005-2022,"BAG, TRAVEL DUFFEL",ACC,0.0,79.5
005-2200,"BOTTLE, SWELL CC",ACC,0.0,29.0
005-3501,"Mat, Boarding - Chris",ACC,0.0,65.75
005-3513-M,"SHIRT, TEE RINGSPUN",ACC,0.0,18.0
005-3513-S,"SHIRT, TEE RINGSPUN",ACC,0.0,18.0
005-3513-XL,"SHIRT, TEE RINGSPUN",ACC,0.0,18.0
005-3515-S,"SHIRT, JAMES TRI-",ACC,0.0,18.0
005-3515-XL,"SHIRT, JAMES TRI-",ACC,0.0,18.0
005-3516-S,"SHIRT, JAMES TRI-",ACC,0.0,18.0
005-3523-L,"SHIRT, POLO BLUE LG",ACC,0.0,60.0
005-3523-S,"SHIRT, POLO BLUE SM",ACC,0.0,60.0
005-3524-M,"SHIRT, POLO RED MD",ACC,0.0,60.0
005-3536-L,Vintage Fleece Shirt,ACA,0.0,39.95
005-3547-L,"Shirt, Ladies Long",ACA,0.0,19.95
005-3549-L,"T-SHIRT, LETTERMAN CC",ACC,0.0,27.0
005-3549-S,"T-SHIRT, LETTERMAN CC",ACC,0.0,27.0
005-3549-XL,"T-SHIRT, LETTERMAN CC",ACC,0.0,27.0
005-4202,CHRIS CRAFT TERVIS,ACC,0.0,24.99
005-4522,"Croakies, Chris Craft",ACA,0.0,18.95
005-5053-M,"Shirt, Athena Dalmon",ACA,0.0,29.95
005066,"PUMP, 500 GPH RT ANGLE",ACC,0.0,41.99
005362,"BOLT, 1/4-20 SHOULDER,",ACV,0.0,2.29
005530W,"SWITCH, IGN, SINGLEM",ACC,0.0,0.0
005713,"CORNER CASTING,RUB",ACC,0.0,94.99
005714W,CORNER CASTING RUB,ACC,0.0,0.0
005833,Bimini Foot,ACC,0.0,3.5
006067,STRAP LX SERIES,ACC,0.0,12.99
006141,"LADDER, STERN, 4-STEP,",ACC,0.0,519.0
006141W,LADDER STERN 4-STEP,ACC,0.0,0.0
006626,"BASE,ALL-ROUND,24"",",AEL,0.0,0.0
006658,"LATCH,WINDSHIELD,",ACC,0.0,14.25
006658W,LATCH WINDSHIELD,ACC,0.0,0.0
006665W,PONTOON RAIL SPACER,ACC,0.0,0.0
006675W,"CAPACITY LABEL ""COAST",ACC,0.0,0.0
006688,"CLEAT, OFFSET, SS, 6""",ACC,0.0,44.99
006688W,"CLEAT, OFFSET, SS, 6""",ACC,0.0,0.0
006888,"CLEAT, 6"" STANDARD LEG",ACC,0.0,36.99
006922,GLOBE ONLY FOR 1470,ACC,0.0,26.99
007268,"PLUG, DRAIN, BLACK DP-1",ACC,0.0,0.0
007285W,SWITCH BATTERY ON/OFF,ACC,0.0,0.0
