part_number,description,supplier_code,category_code,quantity,cost,price,margin,margin_percent,supplier_from_group
CQ1727,"3/4"" x 50' BK STD HH 1FT",AAP,ACC,0.0,0.87,1.13,0.26,23.0,AAP
123-1,Trailer Caliper,ABT,ACC,0.0,115.0,145.0,30.0,20.68,ABT
123-2,Coupler w/ Valve,ABT,ACC,0.0,279.0,325.0,46.0,14.15,ABT
123-3,Super Lube Caps,ABT,ACC,0.0,6.0,8.0,2.0,25.0,ABT
289,"Long Coupler, Flush Mount",ABT,ACC,0.0,100.94,145.65,44.71,30.69,ABT
660E,Brake Coupler / Top Mount,ABT,ACC,0.0,229.0,296.5,67.5,22.76,ABT
AB-36V-105-FN4,SEALED 36V 105AH,ABY,ACC,0.0,2849.0,3799.99,950.99,25.02,ABY
AB-36V-DC,36V ON-BOARD,ABY,ACC,0.0,262.49,349.99,87.5,25.0,ABY
AB-36V105-BT,36V LITHIUM 105AH,ABY,ACC,0.0,2099.99,2799.99,700.0,25.0,ABY
AB-36V60-BT,36V LITHIUM 60AH,ABY,ACC,0.0,1499.99,1999.99,500.0,25.0,ABY
AB-36V72-BT,36V LITHIUM 72AH,ABY,ACC,0.0,1799.99,2399.99,600.0,25.0,ABY
AB-CRG-36V10A,36V 10A HIGH-PRECISION,ABY,ACC,0.0,374.99,499.99,125.0,25.0,ABY
AB-CRG-36V20A,36V 20A HIGH-PRECISION,ABY,ACC,0.0,374.99,499.99,125.0,25.0,ABY
AB-G31,STARBOARD MARINE,ABY,ACC,0.0,63.75,75.0,11.25,15.0,ABY
AB-G49,STARBOARD MARINE,ABY,ACC,0.0,63.75,75.0,11.25,15.0,ABY
AB-G4D,STARBOARD MARINE,ABY,ACC,0.0,80.75,95.0,14.25,15.0,ABY
AB-MDX13-60,SHARK BI-DIRECTIONAL,ABY,ACC,0.0,749.99,999.99,250.0,25.0,ABY
AB-MX3,CRYSTAL X3 BATTERY,ABY,ACC,0.0,374.99,499.99,125.0,25.0,ABY
4039046,"VINYL TUBING 3/8X9/16""",ACE,ACC,0.0,1.49,2.49,1.0,40.16,ACE
